Sr. No.,Organizations,Brief description of Intervention,Best Practices,Reference,,
1,Apollo Life,"Offers three healthcare services:
1)    Health services such as various blood tests, scans, Ayurveda and beauty packages
2)    Nutrition advisory services (such as health or dietary advice) 
3)    Mental health services in a form of personalized counseling sessions","·      Integration of Ayurveda for healthcare services 
·      Tele-counseling services 
·      De-addiction programs",33,,
2,Genpact,"1)    Senior leaders communicate often through various channels across all levels  
2)    Does regular virtual connects
3)    Virtual counseling services via AI chatbot (Amber) to check in with employees to capture immediate concerns and needs to support them better.","·     Preventive and promotive mental healthcare
·     Regular communication with staff
·     AI chatbot for counseling services",33,,
3,Wipro,"1)    Full health check-ups and coverage for the basic treatments and surgeries at discounted price
1)    Mitr (Friend) initiative to provide counseling for employees of the company",·     Peer support system to offer basic counseling services through peers,33,,
4,Larsen & Toubro Infotech (L&T),"1)    Healthcare programs considering long term illnesses. 
2)    Integrates seamlessly technology with healthcare to provide optimal benefits to employees
2)    In-house employee counseling","·      Digital interface for accessing healthcare services from their empanelled healthcare service providers
·     Employee counseling",33,,
5,Mphasis,"1)    Developed its wellness app 
3)    A telephone support line with professional counsellors","·     Dedicated mental health program 
·     Use of technology for mental wellbeing",37,,
6,Agilent Technologies,"1)    Fosters employee work-life balance by providing freedom and flexibility in deciding time and place of work to its employees 
2)    Rewards employee performance rather than working a greater number of hours","·     Work-life balance
·     Employee reward based on performance",37,,
7,Zensar Technologies,"1)    Provides crèche facility to employees
2)    Arranges informal meetings where employees can meet their seniors and discuss anything and everything
3)    Provides information services such as information regarding housing/education facilities for children
4)    Organizes stress management programs 
5)    Arranges social events such as family day and fun days at work regularly 
6)    A facility called “Madat Online” – a 24/7 service available for employees to take care of some of their personal day-to-day activities (e.g., dropping cheques, drawing cash, paying telephone bills and school fees of employees’ children)","·     Employee friendly support services such as childcare service, personal day-to-day support service and so",37,,
8,Shell,"1)    Practices employee diversity and work-life balance; employees are given options such as flextime and work from home. 
2)    Initiatives such as live meditation, extended weekends, special holidays, free subscription to wellbeing apps 
3)    Mental health counseling sessions","·     Employee diversity
·     Telephone helpline (24x7)
·     Use of digital platforms - wellbeing apps",39,,
9,IBM India,"1)    Flexible workweek schedules, working from home, part-time employment, and leave of absence programs and so
2)    Family counseling
3)    Other provisions include study reimbursements, global opportunities, recreational activities  
4)    Help employees deal with life events, from getting married to taking a career break","·     Provide a range of practical supports and preventive services 
·     Counseling services extended to family members
·     Flexi schedules for employees",39,,
10,Edelweiss Group,"1)    Regular employee outreach programs 
2)    Townhalls by the leadership
3)    Virtual counseling","·     Regular communication with staff
·     Virtual counseling",40,,
11,MakeMyTrip,"1)    Organise emotional counseling sessions
2)    Yoga and meditation sessions by experts
3)    Stress and anxiety management consultations by expert","·      Emotional wellness sessions
·      Stress and anxiety management services",40,,
12,Snapdeal,"1)    Provide access to licensed counsellors
2)    Organize meditation and breathwork classes",·      Mental health services by mental health professionals,40,,
13,Adobe India,"1)    Day offs every third Friday 
2)    Free access to meditation and wellbeing applications like Headspace and LifeDojo etc.",·      Digital healthy lifestyle promotion,40,,
14,Publicis Sapient,"1)    Mental health first aiders 
2)    Regular sessions with specific focus on women, people facing domestic violence, etc.","·     Peer support services through Mental health first-aiders
·     Regular sessions on sensitive topics and addresses vulnerability of women at workplace",40,,
